Score,MAE_Teste,MAE_Treino,MSE_Teste,MSE_Treino,R2_Teste,R2_Treino,MAPE_Teste,MAPE_Treino
-4.186245984880772,130.6638459538352,120.92943283338548,21354.96593831927,18707.748389711818,-4.186245984880772,-3.600660024790214,0.30652371036485887,0.28783153148782004
-2.144446261057135,99.55256047230834,101.3593994438541,14038.733014031346,13951.495034898942,-2.144446261057135,-2.550523449859664,0.23273468888205556,0.2381750082956873
-4.712184744024456,140.19376012163616,145.36216701770576,23705.683084176897,25436.961241587214,-4.712184744024456,-5.271523559767235,0.3381369259708951,0.34555522060014215
-3.514768365285593,119.75629731131922,121.4021819848195,18283.247932593782,19097.347306152133,-3.514768365285593,-3.6475906207955076,0.28285432922376197,0.2871949284979284
-5.0555293459065656,142.2014735549273,136.81287040916104,24292.416004882667,23112.63525692156,-5.0555293459065656,-4.606540272621792,0.3377936432167341,0.32620040046390136
-3.0154386888316287,108.4682423887862,105.3877132132164,15514.014287943148,15000.881806745167,-3.0154386888316287,-2.5836199831564093,0.2553023963534464,0.2481965837071482
-3.310906952782622,114.19658383804426,119.39860940906819,17360.517314020664,18134.977390044492,-3.310906952782622,-3.4368270397241103,0.2732857376416418,0.2808844447912558
-4.08902695475021,126.33976690580495,122.86076191737139,19938.11411286867,19306.49988233128,-4.08902695475021,-3.635064838633835,0.29905156288755447,0.29109201909876614
-3.7426229748977358,116.2917782451176,113.15192171957493,17449.14157791054,16910.48217609255,-3.7426229748977358,-2.965518080413635,0.27432200733620116,0.2671908898495213
-3.282140382437296,111.91574524648684,111.98068494399051,16495.510451612005,16603.46568494857,-3.282140382437296,-2.958342760557479,0.26454085901533997,0.2640047045648051
-3.625387774621852,119.56228681189432,124.29911175534188,17946.332220939894,19726.883604476287,-3.625387774621852,-3.7392627111507553,0.2883846625452711,0.29249075441100975
-3.941392914009122,129.69420547387867,123.50658643945728,21187.374062037918,19382.054850914712,-3.941392914009122,-3.8523741865223586,0.303403319594808,0.29441669493970735
-4.906420746909381,140.11952466490143,143.00545854795212,24042.774020140656,24712.08789255624,-4.906420746909381,-5.045946683018497,0.3379262571738702,0.33966361944424633
-2.7629928952982836,108.65786306282527,113.48392164602853,15820.884325340601,16862.845306503714,-2.7629928952982836,-3.175033835647505,0.25704595667620195,0.26716885673686874
-3.7097428713112244,128.97739389206896,122.67637606455278,20827.064462784012,19175.702983157087,-3.7097428713112244,-3.8651555832329043,0.3025324687620666,0.2922542293854841
-4.025501182036658,126.46633207740777,131.05567917057888,20127.947077395052,21447.159983012007,-4.025501182036658,-4.202887204279227,0.3030419490390465,0.3101236070343206
-4.213811575886828,126.21224697714607,129.37951453132516,19943.55525921556,21023.556448239433,-4.213811575886828,-3.998322121107093,0.3008275256719951,0.30673227957189914
-4.270072714831722,130.52222272356403,127.75740205345906,21582.37397702084,20523.14751158501,-4.270072714831722,-4.022295699921631,0.3069133623442448,0.3041575253734149
-3.0238315839674685,111.97193473553918,113.91015989938656,16591.454954426004,17004.771293909416,-3.0238315839674685,-3.17593479076055,0.262047877687141,0.2696013248773501
-3.052515145091782,116.23956290474146,113.61685668368004,17434.190851406394,17010.670495661267,-3.052515145091782,-3.2522679875215372,0.2735095738954949,0.268416959910411
-3.869727097105436,127.32077486009796,122.64680413956097,20542.255151433073,19157.88910629601,-3.869727097105436,-3.7452914042599774,0.30187646011637737,0.2905542611883869
-4.4825080027062825,131.6323096220532,130.2056402642077,21837.3606127705,21096.209265071855,-4.4825080027062825,-4.097705384853753,0.31254528236177304,0.30966631257905364
